Event ID,Timestamp,Source IP,Destination IP,User Agent,Attack Type,Attack Severity,Data Exfiltrated,Threat Intelligence,Response Action
0371af0d-a93d-43d8-a614-a1681e1bab06,2023-10-11 09:26:05,174.65.182.121,39.163.37.32,Mozilla/5.0 (Android 5.0.2; Mobile; rv:67.0) Gecko/67.0 Firefox/67.0,DDoS,Low,False,Off dinner almost sea state wide so.,Eradicated
806cccd3-ab03-4dc6-971d-d4358a893b4e,2022-07-05 21:22:33,91.97.186.125,133.1.50.233,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; af-ZA) AppleWebKit/535.16.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6535.16.1",Phishing,High,False,Mean each clearly around.,Contained
c6831b6f-2aac-498e-a424-680468340e54,2022-12-24 04:44:55,47.143.26.207,170.115.10.100,Opera/9.34.(X11; Linux i686; pap-AW) Presto/2.9.179 Version/12.00,DDoS,Low,False,Level occur white son.,Recovered
0334bc17-f609-4f40-b1b1-0235befeaf59,2021-03-16 08:09:26,139.209.47.150,156.27.156.111,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/28.0.811.0 Safari/534.1",DDoS,Medium,False,Exactly collection important night should same.,Contained
5a50ebd2-1892-4fc9-80d5-6bd850d2cb36,2022-05-09 12:16:51,138.12.199.170,25.81.212.62,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/534.19.7 (KHTML, like Gecko) Version/5.0 Safari/534.19.7",Ransomware,High,False,News Republican kid many.,Contained
c1e33f1b-878e-412f-90f6-926559135f4b,2020-11-03 20:22:47,219.171.194.112,136.44.103.248,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/28.0.882.0 Safari/536.0",Insider Threat,Critical,False,Eat recognize rest have home simple.,Contained
6a2a8af2-1d69-4a39-bc0d-c96bb9e36636,2022-07-22 13:48:03,119.57.205.245,85.16.103.148,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.1),Ransomware,Low,False,Future front rich drug order.,Recovered
618c7eb1-8571-4858-9d60-e30c167beb61,2020-02-01 07:02:39,217.42.58.186,176.40.172.210,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.1),Malware,Medium,False,Performance available body a vote month possible.,Blocked
4993432a-de0d-4fa6-8c5f-8c2c49cdafa6,2023-08-22 04:26:05,161.49.173.148,55.47.148.122,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/531.20.3 (KHTML, like Gecko) Version/5.1 Safari/531.20.3",Insider Threat,Medium,False,Measure campaign child win.,Contained
a24451c1-6a70-4d33-92f5-3407ccc244ed,2020-05-03 17:30:47,220.126.245.52,174.241.129.120,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/532.43.1 (KHTML, like Gecko) Version/4.1 Safari/532.43.1",DDoS,Low,True,Himself through truth inside drive.,Eradicated
